load_zone,Wind,SolarPV,SolarCSP,Battery,Scenario
Angola,0.0,4.0820537589042045,,0.0,Existing Tx
Botswana,0.377,0.8816485982791931,0.0,0.0,Existing Tx
DRC,1.4175469970956829,9.816702936266482,,7.892850008329205,Existing Tx
Eswatini,0.0,0.0,,1.7114062794712235,Existing Tx
Lesotho,0.23811025573130828,0.2123485816998214,,0.035279187134375424,Existing Tx
Malawi,1.4302687377389653,2.326631607609302,,0.22597181239802852,Existing Tx
Mozambique,0.0,0.0,,0.0,Existing Tx
Namibia,0.0,0.0,,0.0,Existing Tx
SouthAfrica,14.352752239685458,48.31315987415379,0.0,10.0,Existing Tx
Tanzania,8.850918801308545,3.997911007074191,,0.39189295108407246,Existing Tx
Zambia,2.3313282516269656,6.6318778972378105,,0.599213104563496,Existing Tx
Zimbabwe,0.09321703043222765,1.9147779002666012,,0.004549138732502602,Existing Tx
Angola,0.0,3.484352573478263,,0.0,Planned Tx
Botswana,0.3940665801398577,1.0442349587613056,0.0,0.26094371590936716,Planned Tx
DRC,1.45,7.318829496569948,,4.2989539589573935,Planned Tx
Eswatini,0.0,0.0,,1.7193179359965933,Planned Tx
Lesotho,0.23891714638600667,0.21258388627614933,,0.03733115839326688,Planned Tx
Malawi,1.3289999999999997,2.189484420124507,,0.28370912743441623,Planned Tx
Mozambique,0.0,0.0,,0.0,Planned Tx
Namibia,0.0,0.0,,0.0,Planned Tx
SouthAfrica,14.978354041616145,48.55014514996185,0.0,10.0,Planned Tx
Tanzania,9.941626096400746,2.8435683877669065,,0.044473994054554815,Planned Tx
Zambia,1.149440004354777,7.107132034662529,,0.0,Planned Tx
Zimbabwe,0.0,2.0553579024455564,,0.0,Planned Tx
Angola,0.0,3.7897197703719248,,0.0,Optimal Tx (Reference)
Botswana,0.3574357465235172,0.9673031449287665,0.0,0.0,Optimal Tx (Reference)
DRC,1.3281429828293994,7.93697506474062,,4.951705287925353,Optimal Tx (Reference)
Eswatini,0.0,0.0,,1.5515884293212863,Optimal Tx (Reference)
Lesotho,2.4517731986699176,0.0,,1.4481649578056839,Optimal Tx (Reference)
Malawi,0.9742033418352425,0.3200365445591775,,0.11640200296171599,Optimal Tx (Reference)
Mozambique,0.0,0.0,,0.0,Optimal Tx (Reference)
Namibia,0.0,0.0,,0.0,Optimal Tx (Reference)
SouthAfrica,13.756812323183379,47.31663881054932,0.0,10.0,Optimal Tx (Reference)
Tanzania,8.850918801308541,3.9979110070741917,,0.3918929510840738,Optimal Tx (Reference)
Zambia,2.0772440080356667,6.383801645958943,,0.0,Optimal Tx (Reference)
Zimbabwe,0.0,2.27055006791008,,0.0,Optimal Tx (Reference)
Angola,0.0,0.0,,0.0,Static costs
Botswana,0.0,0.3305413694588721,0.0,0.0,Static costs
DRC,0.0,0.0,,0.0,Static costs
Eswatini,0.0,0.0,,0.0,Static costs
Lesotho,0.40034249599781346,0.0,,0.0,Static costs
Malawi,0.0,0.0,,0.0,Static costs
Mozambique,0.0,0.0,,0.0,Static costs
Namibia,0.0,0.0,,0.0,Static costs
SouthAfrica,7.018982148741649,6.823061341127952,0.0,0.9810543354307129,Static costs
Tanzania,0.0,0.0,,0.0,Static costs
Zambia,0.917306317313422,0.0,,0.0,Static costs
Zimbabwe,0.0,0.0,,0.0,Static costs
Angola,0.0,9.834562049731398,,2.433374336002668,Clean 80%
Botswana,1.8943767685004982,2.204732094497077,0.0,1.435783500133728,Clean 80%
DRC,2.605538513654189,8.517191518746113,,6.058511547603709,Clean 80%
Eswatini,0.0,0.0,,2.117517388348813,Clean 80%
Lesotho,2.128,0.12053501682711763,,5.294805208058014,Clean 80%
Malawi,2.280472080038659,0.5301116024021154,,0.04521939454627545,Clean 80%
Mozambique,4.796,0.0,,0.12520159448203116,Clean 80%
Namibia,3.778100300639378,0.0,,2.4937843524541567,Clean 80%
SouthAfrica,40.5965356350112,55.94589872699924,0.0,10.0,Clean 80%
Tanzania,11.10165482328361,5.821712693887712,,3.6432017462657296,Clean 80%
Zambia,1.6913076578571493,6.9093004003286245,,0.0,Clean 80%
Zimbabwe,0.0,1.8369141440026333,,0.0,Clean 80%
Angola,0.0,3.7897197703719248,,0.0,Coal ret. 65y (Reference)
Botswana,0.3574357465235172,0.9673031449287665,0.0,0.0,Coal ret. 65y (Reference)
DRC,1.3281429828293994,7.93697506474062,,4.951705287925353,Coal ret. 65y (Reference)
Eswatini,0.0,0.0,,1.5515884293212863,Coal ret. 65y (Reference)
Lesotho,2.4517731986699176,0.0,,1.4481649578056839,Coal ret. 65y (Reference)
Malawi,0.9742033418352425,0.3200365445591775,,0.11640200296171599,Coal ret. 65y (Reference)
Mozambique,0.0,0.0,,0.0,Coal ret. 65y (Reference)
Namibia,0.0,0.0,,0.0,Coal ret. 65y (Reference)
SouthAfrica,13.756812323183379,47.31663881054932,0.0,10.0,Coal ret. 65y (Reference)
Tanzania,8.850918801308541,3.9979110070741917,,0.3918929510840738,Coal ret. 65y (Reference)
Zambia,2.0772440080356667,6.383801645958943,,0.0,Coal ret. 65y (Reference)
Zimbabwe,0.0,2.27055006791008,,0.0,Coal ret. 65y (Reference)
Angola,0.0,3.8069503296023544,,0.0,Coal ret. 55y
Botswana,0.43901918106913573,1.2241129770978074,0.0,0.6578814393418292,Coal ret. 55y
DRC,1.6701193812538349,7.70188113853666,,4.646983236742197,Coal ret. 55y
Eswatini,0.0,0.0,,0.9731570825985371,Coal ret. 55y
Lesotho,4.428502941423219,0.0,,10.0,Coal ret. 55y
Malawi,0.7844447588307001,0.3705901971121961,,0.12006527781535488,Coal ret. 55y
Mozambique,0.0,0.0,,0.0,Coal ret. 55y
Namibia,1.3783413179324862,0.0,,0.0,Coal ret. 55y
SouthAfrica,21.314157659802813,55.454013234772674,0.0,10.0,Coal ret. 55y
