ID,transmission_line,load_zone_from,load_zone_to,x_start,y_start,x_end,y_end,Existing,Planned,Capacity (MW),Volt_kV_total,len_km,Status,load_zone_from.1,load_zone_to.1,Existing Tx,Planned Tx,Static Costs,Reference,Coal Ret. 55y,Coal Ret. 45y,Clean 80%,existing_trans_cap,legendgroup
1,Angola_Namibia,Angola,Namibia,17.549158,-12.297964,17.220511,-22.139576,0,300.0,300,0,1104,Planned,Angola,Namibia,0.0,300.0,0.0,0.0,0.0,0.0,204.9113734976154,0.0,5
2,DRC_Angola,DRC,Angola,23.660758,-2.88119,17.549158,-12.297964,0,600.0,600,0,1248,Planned,DRC,Angola,0.0,600.0,3053.760996333962,711.8539177248434,653.8226764545328,718.105110670069,265.25632448373966,0.0,6
3,DRC_Zambia,DRC,Zambia,23.660758,-2.88119,27.792636,-13.462276,827,,827,770,1256,Existing,DRC,Zambia,0.0,0.0,0.0,0.0,0.0,0.0,10.989074650422594,827.0,2
4,Malawi_Mozambique,Malawi,Mozambique,34.300482,-13.215077,35.551437,-17.259581,0,400.0,400,0,471,Planned,Malawi,Mozambique,0.0,400.0,2911.461492410329,2222.1893892851067,2224.901693446719,2267.290798854821,2138.088122513941,0.0,5
5,Mozambique_Eswatini,Mozambique,Eswatini,35.551437,-17.259581,31.4982,-26.565445,1133,,1133,675,1118,Existing,Mozambique,Eswatini,0.0,0.0,4582.23973065963,0.0,217.7182262207584,6147.085366884275,0.0,1133.0,3
6,Mozambique_Zimbabwe,Mozambique,Zimbabwe,35.551437,-17.259581,29.868838,-19.000563,258,,258,440,634,Existing,Mozambique,Zimbabwe,0.0,0.0,1827.8611220065768,245.76531738139687,136.55138280809456,192.1561357579676,199.6684556225066,258.0,1
7,SouthAfrica_Botswana,SouthAfrica,Botswana,25.086904,-28.996293,23.813533,-22.188061,615,,615,796,765,Existing,SouthAfrica,Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615.0,2
8,SouthAfrica_Eswatini,SouthAfrica,Eswatini,25.086904,-28.996293,31.4982,-26.565445,1176,,1176,532,687,Existing,SouthAfrica,Eswatini,0.0,0.0,3982.995345262033,0.0,0.0,6283.967006926172,0.0,1176.0,3
9,SouthAfrica_Lesotho,SouthAfrica,Lesotho,25.086904,-28.996293,28.246684,-29.582962,90,,90,132,314,Existing,SouthAfrica,Lesotho,0.0,0.0,147.16073067370763,1719.0209161031594,3833.580497153149,5023.646630350753,1718.7776483317305,90.0,0
10,SouthAfrica_Mozambique,SouthAfrica,Mozambique,25.086904,-28.996293,35.551437,-17.259581,3577,,3577,1808,1687,Existing,SouthAfrica,Mozambique,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3577.0,4
11,SouthAfrica_Namibia,SouthAfrica,Namibia,25.086904,-28.996293,17.220511,-22.139576,2380,,2380,1385,1101,Existing,SouthAfrica,Namibia,0.0,0.0,1769.6823134341994,0.0,2134.6592396199376,2968.8900551814586,0.0,2380.0,4
12,SouthAfrica_Zimbabwe,SouthAfrica,Zimbabwe,25.086904,-28.996293,29.868838,-19.000563,15,,15,132,1209,Existing,SouthAfrica,Zimbabwe,0.0,0.0,0.0,33.07711129986606,275.59667992035736,405.0907295057787,0.0,15.0,0
13,Tanzania_Zambia,Tanzania,Zambia,34.825685,-6.26622,27.792636,-13.462276,0,1000.0,1000,0,1111,Planned,Tanzania,Zambia,0.0,1000.0,76.59880498180829,0.0,0.0,0.0,24.861979873574683,0.0,6
14,Zambia_Namibia,Zambia,Namibia,27.792636,-13.462276,17.220511,-22.139576,360,,360,440,1480,Existing,Zambia,Namibia,0.0,0.0,150.88811782240143,0.0,0.0,0.0,0.0,360.0,1
15,Zambia_Zimbabwe,Zambia,Zimbabwe,27.792636,-13.462276,29.868838,-19.000563,1298,,1298,660,652,Existing,Zambia,Zimbabwe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1298.0,3
16,Zimbabwe_Botswana,Zimbabwe,Botswana,29.868838,-19.000563,23.813533,-22.188061,420,,420,620,723,Existing,Zimbabwe,Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,1
